set_nice: pid = 77434, old_priority = 0, new_priority = -20
Block size is 1MB
size(MB), time(ms), bandwidth(GB/s)
1.00, 0.16, 6.25
2.00, 0.31, 6.50
3.00, 0.61, 4.93
4.00, 0.83, 4.82
5.00, 1.02, 4.93
6.00, 1.20, 5.02
7.00, 1.33, 5.26
8.00, 1.69, 4.73
9.00, 1.74, 5.16
10.00, 2.34, 4.28
100.00, 71.57, 1.40
200.00, 140.13, 1.43
300.00, 154.08, 1.95
400.00, 203.78, 1.96
500.00, 257.86, 1.94
600.00, 301.22, 1.99
700.00, 395.10, 1.77
800.00, 421.05, 1.90
900.00, 384.94, 2.34
1024.00, 500.26, 2.05
2048.00, 1027.88, 1.99
3072.00, 5309.47, 0.58
4096.00, 4301.20, 0.95
4100.00, 2741.29, 1.50
4200.00, 2976.40, 1.41
4300.00, 2858.39, 1.50
4400.00, 3069.58, 1.43
4500.00, 3044.69, 1.48
4600.00, 3180.83, 1.45
4700.00, 3499.44, 1.34
4800.00, 3397.28, 1.41
4900.00, 3368.53, 1.45
5000.00, 3610.40, 1.38
5040.00, 3469.23, 1.45
5080.00, 3468.96, 1.46
5140.00, 3597.60, 1.43
6144.00, 7177.42, 0.86
7168.00, 8497.13, 0.84
8192.00, 9705.66, 0.84
