set_nice: pid = 10461, old_priority = 0, new_priority = -20
total_linked_list_nodes:65536/65536, mem_size:4194304B, averageAccessTime:310.93 cycles
total_linked_list_nodes:81920/81920, mem_size:5242880B, averageAccessTime:520.15 cycles
total_linked_list_nodes:98304/98304, mem_size:6291456B, averageAccessTime:354.64 cycles
total_linked_list_nodes:114688/114688, mem_size:7340032B, averageAccessTime:240.99 cycles
total_linked_list_nodes:131072/131072, mem_size:8388608B, averageAccessTime:343.71 cycles
total_linked_list_nodes:147456/147456, mem_size:9437184B, averageAccessTime:359.09 cycles
total_linked_list_nodes:163840/163840, mem_size:10485760B, averageAccessTime:342.03 cycles
total_linked_list_nodes:180224/180224, mem_size:11534336B, averageAccessTime:258.84 cycles
total_linked_list_nodes:196608/196608, mem_size:12582912B, averageAccessTime:303.01 cycles
total_linked_list_nodes:212992/212992, mem_size:13631488B, averageAccessTime:329.89 cycles
total_linked_list_nodes:229376/229376, mem_size:14680064B, averageAccessTime:462.90 cycles
total_linked_list_nodes:245760/245760, mem_size:15728640B, averageAccessTime:325.38 cycles
total_linked_list_nodes:262144/262144, mem_size:16777216B, averageAccessTime:283.34 cycles
total_linked_list_nodes:278528/278528, mem_size:17825792B, averageAccessTime:263.98 cycles
total_linked_list_nodes:294912/294912, mem_size:18874368B, averageAccessTime:410.18 cycles
total_linked_list_nodes:311296/311296, mem_size:19922944B, averageAccessTime:295.46 cycles
total_linked_list_nodes:327680/327680, mem_size:20971520B, averageAccessTime:388.44 cycles
total_linked_list_nodes:344064/344064, mem_size:22020096B, averageAccessTime:379.18 cycles
total_linked_list_nodes:360448/360448, mem_size:23068672B, averageAccessTime:297.15 cycles
total_linked_list_nodes:376832/376832, mem_size:24117248B, averageAccessTime:322.75 cycles
total_linked_list_nodes:393216/393216, mem_size:25165824B, averageAccessTime:327.98 cycles
total_linked_list_nodes:409600/409600, mem_size:26214400B, averageAccessTime:338.09 cycles
total_linked_list_nodes:425984/425984, mem_size:27262976B, averageAccessTime:367.35 cycles
total_linked_list_nodes:442368/442368, mem_size:28311552B, averageAccessTime:302.88 cycles
total_linked_list_nodes:458752/458752, mem_size:29360128B, averageAccessTime:300.96 cycles
total_linked_list_nodes:475136/475136, mem_size:30408704B, averageAccessTime:334.52 cycles
total_linked_list_nodes:491520/491520, mem_size:31457280B, averageAccessTime:292.66 cycles
total_linked_list_nodes:507904/507904, mem_size:32505856B, averageAccessTime:302.90 cycles
total_linked_list_nodes:524288/524288, mem_size:33554432B, averageAccessTime:305.26 cycles
total_linked_list_nodes:1048576/1048576, mem_size:67108864B, averageAccessTime:326.10 cycles
