Running command - ./utils/repeat_cmd.sh ./build/round_trip_time 100
Currently in /Users/rohitgupta/Desktop/UCSD/quarter_4/cse_221/project/CSE221_project
Running ./build/round_trip_time 100 times to get the median & average.

S.No.	       	Av time (in cycles)
===================================================================
1	    	8778102
2	    	8269657
3	    	8363092
4	    	8239581
5	    	8416555
6	    	8426095
7	    	8385700
8	    	8311156
9	    	8344628
10	    	8580839
11	    	9017234
12	    	8687158
13	    	8461309
14	    	8579756
15	    	8427695
16	    	8171575
17	    	8864160
18	    	8601886
19	    	8439331
20	    	8271858
21	    	8189459
22	    	8207929
23	    	8412393
24	    	8205923
25	    	8166869
26	    	8331770
27	    	8334199
28	    	8202104
29	    	8422131
30	    	8383534
31	    	8507398
32	    	9051640
33	    	8905468
34	    	9190913
35	    	9106246
36	    	12882662
37	    	12559008
38	    	8938769
39	    	8833354
40	    	8923489
41	    	8808155
42	    	8756553
43	    	8926625
44	    	9081800
45	    	9027830
46	    	8898941
47	    	8811761
48	    	11222120
49	    	9470981
50	    	8151803
51	    	9748343
52	    	9951254
53	    	8468696
54	    	9540911
55	    	9670025
56	    	8897138
57	    	9484680
58	    	10136817
59	    	10355312
60	    	10347052
61	    	8592774
62	    	9774870
63	    	9995308
64	    	10564670
65	    	9627755
66	    	9188678
67	    	10324330
68	    	10005537
69	    	9000247
70	    	11445434
71	    	9176449
72	    	10339788
73	    	8868408
74	    	9120394
75	    	8768540
76	    	9046665
77	    	8892877
78	    	8792061
79	    	8861999
80	    	9024906
81	    	8718414
82	    	8771221
83	    	8762611
84	    	8635569
85	    	8773066
86	    	8788831
87	    	8753355
88	    	8854579
89	    	8761433
90	    	8801500
91	    	8685586
92	    	8724468
93	    	8976660
94	    	8789464
95	    	8748364
96	    	8951999
97	    	8722904
98	    	8866808
99	    	8855409
100	    	8716158
Median:8804827.00
Average:9022195.11
===================================================================
